
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E4:FA:C4:DC:82:4E, 2025-09-02 12:48:22, 2025-09-02 12:48:50,  1, 195, OPN, ,   , -101,       18,        0,   0.  0.  0.  0,  12, KAILATH HOME, 
3C:52:A1:6F:7D:5E, 2025-09-02 12:48:22, 2025-09-02 12:48:50,  1, 540, OPN, ,   , -103,       12,        0,   0.  0.  0.  0,  12, KAILATH HOME, 
64:29:43:06:2B:25, 2025-09-02 12:48:22, 2025-09-02 12:48:51, 13, 270, WPA2, CCMP, PSK, -86,       21,        1,   0.  0.  0.  0,  15, THYKKAKATHU_YEL, 
EC:A2:A0:6F:87:59, 2025-09-02 12:48:23, 2025-09-02 12:48:51,  8, 130, WPA2, CCMP TKIP, PSK, -89,       19,        1,   0.  0.  0.  0,   5, Ankul, 
BC:62:D2:A4:D8:77, 2025-09-02 12:48:23, 2025-09-02 12:48:49,  9, 270, WPA2, CCMP TKIP, PSK, -86,       41,        0,   0.  0.  0.  0,  11, GNXS-a4d877, 
F2:86:AA:5D:6C:4A, 2025-09-02 12:48:24, 2025-09-02 12:48:38,  4, 180, WPA2, CCMP, PSK, -104,       11,        0,   0.  0.  0.  0,  16, Redmi Note 13 5G, 
B8:B7:DB:42:5C:DC, 2025-09-02 12:48:24, 2025-09-02 12:48:49,  5, 270, OPN, ,   , -84,       20,        0,   0.  0.  0.  0,  16, BSNLWIfI_Roaming, 
B8:B7:DB:42:5C:DB, 2025-09-02 12:48:24, 2025-09-02 12:48:49,  5, 270, WPA2, CCMP, PSK, -84,       19,        0,   0.  0.  0.  0,  12, BSNL_FTTH989, 
34:60:F9:6D:44:FA, 2025-09-02 12:48:24, 2025-09-02 12:48:49, 11, 195, OPN, ,   , -82,       31,        0,   0.  0.  0.  0,  12, KAILATH HOME, 
A8:6E:84:93:07:A8, 2025-09-02 12:48:25, 2025-09-02 12:48:50,  6, 405, OPN, ,   , -85,       20,        0,   0.  0.  0.  0,  12, KAILATH HOME, 
A8:6E:84:93:07:DC, 2025-09-02 12:48:36, 2025-09-02 12:48:36,  6, 195, OPN, ,   , -103,        1,        0,   0.  0.  0.  0,  12, KAILATH HOME, 
A8:6E:84:93:07:BA, 2025-09-02 12:48:39, 2025-09-02 12:48:49, 11, 195, OPN, ,   , -104,        4,        0,   0.  0.  0.  0,  12, KAILATH HOME, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
EC:41:F9:2D:97:52, 2025-09-02 12:48:26, 2025-09-02 12:48:46, -83,        5, (not associated) ,GNXS-2.4G-E4B970
E6:F2:D4:67:31:D5, 2025-09-02 12:48:34, 2025-09-02 12:48:35, -87,        3, (not associated) ,
6A:01:B0:62:76:7A, 2025-09-02 12:48:41, 2025-09-02 12:48:41, -67,        4, (not associated) ,
D2:18:1C:09:20:8E, 2025-09-02 12:48:51, 2025-09-02 12:48:51,  -1,        1, EC:A2:A0:6F:87:59,

