
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
E4:FA:C4:DC:82:4E, 2025-09-02 12:47:18, 2025-09-02 12:47:58,  1, 195, OPN, ,   , -89,       27,        0,   0.  0.  0.  0,  12, KAILATH HOME, 
3C:52:A1:6F:7D:5E, 2025-09-02 12:47:18, 2025-09-02 12:47:58,  1, 540, OPN, ,   , -89,       17,        0,   0.  0.  0.  0,  12, KAILATH HOME, 
64:29:43:06:2B:25, 2025-09-02 12:47:18, 2025-09-02 12:48:03, 13, 270, WPA2, CCMP, PSK, -88,       30,        0,   0.  0.  0.  0,  15, THYKKAKATHU_YEL, 
EC:A2:A0:6F:87:59, 2025-09-02 12:47:19, 2025-09-02 12:48:03,  8, 130, WPA2, CCMP TKIP, PSK, -88,       25,        0,   0.  0.  0.  0,   5, Ankul, 
BC:62:D2:A4:D8:77, 2025-09-02 12:47:19, 2025-09-02 12:48:00,  9, 270, WPA2, CCMP TKIP, PSK, -87,       44,        0,   0.  0.  0.  0,  11, GNXS-a4d877, 
F2:86:AA:5D:6C:4A, 2025-09-02 12:47:20, 2025-09-02 12:47:53,  4, 180, WPA2, CCMP, PSK, -88,       15,        5,   0.  0.  0.  0,  16, Redmi Note 13 5G, 
34:60:F9:6D:44:FA, 2025-09-02 12:47:20, 2025-09-02 12:48:01, 11, 195, OPN, ,   , -73,       38,        0,   0.  0.  0.  0,  12, KAILATH HOME, 
B8:B7:DB:42:5C:DC, 2025-09-02 12:47:20, 2025-09-02 12:48:00,  5, 270, OPN, ,   , -84,       28,        0,   0.  0.  0.  0,  16, BSNLWIfI_Roaming, 
B8:B7:DB:42:5C:DB, 2025-09-02 12:47:20, 2025-09-02 12:48:00,  5, 270, WPA2, CCMP, PSK, -84,       30,        1,   0.  0.  0.  0,  12, BSNL_FTTH989, 
A8:6E:84:93:07:A8, 2025-09-02 12:47:21, 2025-09-02 12:48:01,  6, 405, OPN, ,   , -88,       18,        0,   0.  0.  0.  0,  12, KAILATH HOME, 
A8:6E:84:93:07:DC, 2025-09-02 12:47:24, 2025-09-02 12:47:57,  6, 195, OPN, ,   , -103,        4,       30, 192.168.  1.254,  12, KAILATH HOME, 
A8:6E:84:93:07:9C, 2025-09-02 12:47:28, 2025-09-02 12:47:28,  1, 195, OPN, ,   , -88,        1,        0,   0.  0.  0.  0,  12, KAILATH HOME, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
EC:41:F9:2D:97:52, 2025-09-02 12:47:19, 2025-09-02 12:47:53, -85,        7, (not associated) ,GNXS-2.4G-E4B970
EE:CD:F5:E4:35:46, 2025-09-02 12:47:21, 2025-09-02 12:47:21, -63,        5, (not associated) ,
72:EB:C0:FB:EB:4A, 2025-09-02 12:47:24, 2025-09-02 12:47:57,  -1,       30, A8:6E:84:93:07:DC,
A6:EF:15:59:D6:A4, 2025-09-02 12:47:30, 2025-09-02 12:47:30, -81,        1, (not associated) ,
1A:BF:31:2B:45:C1, 2025-09-02 12:47:36, 2025-09-02 12:47:36, -87,        1, (not associated) ,
2A:5A:2A:0D:66:A6, 2025-09-02 12:48:01, 2025-09-02 12:48:01, -65,        1, (not associated) ,


